feature,importance
Fwd Seg Size Min,0.18772350297145265
Fwd Pkt Len Max,0.07476414021929323
Pkt Len Mean,0.04314134458936766
Fwd Seg Size Avg,0.04272257658526135
Pkt Len Max,0.04227749264239212
Fwd Pkts/s,0.04167273146844685
Fwd Header Len,0.03942131334409768
Init Fwd Win Byts,0.03694017883378957
Flow Pkts/s,0.03557116575886821
Fwd IAT Max,0.030943362299726725
Flow IAT Max,0.030712355538049154
Pkt Len Var,0.030118074566515687
Flow Duration,0.030088114275828054
Flow IAT Min,0.02853648783472058
Pkt Size Avg,0.02547367840629099
Subflow Fwd Byts,0.02257622179431557
Bwd Pkts/s,0.020917246804449764
Flow IAT Mean,0.019931161306889104
TotLen Fwd Pkts,0.018205328729270095
Init Bwd Win Byts,0.01805617052915072
Fwd IAT Tot,0.016096934625590937
Flow Byts/s,0.012269075376382896
Bwd Pkt Len Mean,0.011454228062741913
Fwd Act Data Pkts,0.011227186373403746
Fwd IAT Min,0.010248369670796677
Fwd IAT Mean,0.010129577115220091
Tot Bwd Pkts,0.00988456589375852
Tot Fwd Pkts,0.009209394246750794
Subflow Bwd Byts,0.009169477019449486
Bwd IAT Min,0.008773035405595387
Fwd Pkt Len Mean,0.008273164042235446
PSH Flag Cnt,0.007069798942223877
Bwd Seg Size Avg,0.006371100420149341
Subflow Bwd Pkts,0.0061395412370192195
Bwd Header Len,0.005538124143575552
Bwd Pkt Len Max,0.005187228875282648
Subflow Fwd Pkts,0.004890245739918843
Flow IAT Std,0.0037313541175636455
ACK Flag Cnt,0.0035900902783345054
URG Flag Cnt,0.0024432261699062134
Idle Min,0.0023845300123544913
Bwd Pkt Len Std,0.0023764842333436824
Idle Max,0.0022989595844880675
TotLen Bwd Pkts,0.0022833808756698953
Fwd IAT Std,0.0020419091148100184
Bwd IAT Tot,0.0013448466027816898
Fwd Pkt Len Min,0.0012694805333742529
Bwd IAT Std,0.0012340123764628566
Down/Up Ratio,0.001175919527061153
FIN Flag Cnt,0.000584505999682771
Active Mean,0.0002488822819953798
Bwd IAT Mean,0.0002473402738549448
Bwd IAT Max,0.00023471017316310984
Fwd Pkt Len Std,0.00023423513568681097
Pkt Len Std,0.00019695512256322702
Protocol,9.76853920133922e-05
Pkt Len Min,8.970923551342584e-05
Active Min,5.966931303494663e-05
RST Flag Cnt,5.018212580707015e-05
ECE Flag Cnt,2.9724836513477453e-05
Active Max,1.987486213123246e-05
Idle Std,2.6585654411178385e-06
Fwd PSH Flags,2.241504039725055e-06
SYN Flag Cnt,1.552821936747864e-06
Bwd Pkt Len Min,1.0373736054751676e-06
Active Std,7.744530475076516e-07
Idle Mean,3.714155485086603e-07
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Bwd Pkts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
CWE Flag Count,0.0
Fwd Blk Rate Avg,0.0
